Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
29-Jul-2011,-0.8779,0.166,0.738,0.096,143.25,145.0,142.4,142.89,1453420
01-Aug-2011,-0.9468,0.147,0.81,0.044,145.0,146.5,141.05,141.75,1799570
02-Aug-2011,-0.9674,0.225,0.708,0.067,142.01,143.5,141.51,141.78,1273661
03-Aug-2011,-0.959,0.191,0.726,0.083,142.05,142.3,137.25,138.02,1612236
04-Aug-2011,-0.4951,0.149,0.717,0.134,137.97,139.2,133.5,136.1,1245040
05-Aug-2011,-0.8625,0.126,0.815,0.059,133.55,133.99,129.3,129.3,1360864
08-Aug-2011,-0.9881,0.213,0.745,0.043,127.0,131.4,122.84,130.09,2980775
09-Aug-2011,-0.7096,0.132,0.783,0.085,125.11,126.5,123.59,123.59,2609703
10-Aug-2011,-0.9524,0.214,0.723,0.063,127.5,129.76,126.01,129.57,2199767
11-Aug-2011,-0.959,0.167,0.781,0.053,127.8,136.04,125.5,135.77,2616765
12-Aug-2011,-0.9863,0.26,0.709,0.031,138.0,139.4,131.4,132.08,2523969
15-Aug-2011,-0.4767,0.131,0.75,0.119,131.9,132.36,127.55,128.04,580713
16-Aug-2011,-0.9913,0.238,0.727,0.035,127.6,128.2,125.2,126.78,811974
17-Aug-2011,-0.9471,0.186,0.731,0.083,126.6,127.65,123.05,123.84,1468633
18-Aug-2011,0.7269,0.101,0.748,0.151,123.75,123.75,117.65,117.72,2198159
19-Aug-2011,-0.9913,0.348,0.652,0.0,114.2,114.41,111.84,111.86,1664552
22-Aug-2011,-0.9647,0.182,0.818,0.0,109.35,115.1,109.35,114.3,2192367
23-Aug-2011,-0.9635,0.195,0.784,0.021,113.0,119.45,112.5,117.83,1446498
24-Aug-2011,-0.9671,0.207,0.699,0.094,118.16,122.5,118.16,120.0,1614098
25-Aug-2011,-0.936,0.152,0.778,0.07,120.26,121.0,116.1,116.64,1169010
29-Aug-2011,-0.8555,0.15,0.777,0.073,115.0,115.78,112.0,114.37,997601
30-Aug-2011,-0.9914,0.314,0.65,0.035,114.95,120.08,113.67,119.99,1375128
05-Sep-2011,-0.9186,0.198,0.683,0.119,121.1,125.98,120.51,125.95,2920479
06-Sep-2011,-0.9501,0.211,0.707,0.082,126.79,132.24,124.75,132.09,3832260
07-Sep-2011,-0.9169,0.19,0.698,0.112,133.0,134.6,131.3,132.4,2584086
08-Sep-2011,-0.9517,0.168,0.769,0.063,132.4,137.0,131.6,136.16,2637463
09-Sep-2011,-0.9451,0.181,0.719,0.1,136.99,139.0,134.3,135.2,2004108
12-Sep-2011,0.0772,0.062,0.882,0.056,133.99,133.99,128.5,130.35,2845639
13-Sep-2011,-0.9619,0.218,0.671,0.111,130.45,133.25,128.0,132.77,658020
14-Sep-2011,-0.0112,0.141,0.711,0.148,133.0,134.39,132.51,133.04,866427
15-Sep-2011,-0.9786,0.237,0.66,0.103,133.3,137.3,133.3,135.35,2722861
16-Sep-2011,-0.9695,0.221,0.712,0.067,136.0,136.69,133.35,134.51,872269
19-Sep-2011,-0.986,0.239,0.716,0.045,134.99,135.5,133.3,133.77,288919
20-Sep-2011,-0.9287,0.174,0.74,0.086,133.62,136.2,132.26,135.8,880200
21-Sep-2011,-0.3182,0.111,0.787,0.102,136.8,142.59,136.01,142.45,4423086
22-Sep-2011,-0.8689,0.161,0.723,0.116,140.95,140.95,137.8,138.13,1662756
23-Sep-2011,-0.9477,0.166,0.78,0.054,136.2,136.39,133.35,134.32,1830160
26-Sep-2011,-0.6115,0.103,0.8,0.097,132.7,132.7,127.61,128.96,2000390
27-Sep-2011,-0.9712,0.225,0.697,0.078,131.51,135.4,131.5,135.19,1938775
28-Sep-2011,-0.9776,0.18,0.782,0.039,136.25,140.75,134.6,139.68,4367574
29-Sep-2011,-0.9648,0.192,0.754,0.054,139.68,142.0,137.51,140.76,2292467
30-Sep-2011,0.2278,0.164,0.672,0.164,140.76,145.85,140.5,143.39,3906311
03-Oct-2011,-0.9816,0.27,0.666,0.064,141.51,142.0,136.85,137.62,3468165
04-Oct-2011,-0.9816,0.203,0.749,0.048,138.51,142.9,138.51,142.42,4144012
05-Oct-2011,-0.3182,0.102,0.819,0.079,142.7,143.5,138.1,138.74,2570615
06-Oct-2011,-0.9081,0.162,0.739,0.1,140.55,141.94,137.4,138.91,3101576
07-Oct-2011,-0.9274,0.184,0.738,0.078,139.65,141.65,138.6,140.65,2390310
10-Oct-2011,-0.25,0.062,0.89,0.048,147.68,147.68,145.25,146.11,2710553
11-Oct-2011,-0.7351,0.098,0.828,0.074,147.0,147.0,143.5,144.05,1975948
12-Oct-2011,-0.9081,0.187,0.7,0.113,144.05,146.19,143.11,145.35,1763425
13-Oct-2011,-0.9793,0.216,0.688,0.096,146.65,148.4,141.76,142.51,4830233
14-Oct-2011,-0.0,0.13,0.735,0.136,142.9,143.8,139.2,140.55,2528861
17-Oct-2011,-0.8271,0.127,0.799,0.074,138.0,138.0,133.53,134.08,2619367
18-Oct-2011,-0.8913,0.147,0.761,0.092,134.08,134.08,127.38,127.38,2307836
19-Oct-2011,-0.9254,0.12,0.799,0.081,123.5,131.3,122.41,124.94,13731384
20-Oct-2011,0.0516,0.132,0.735,0.133,126.44,128.0,122.3,123.68,3135192
21-Oct-2011,-0.91,0.193,0.683,0.124,123.79,126.4,118.29,121.32,4486852
25-Oct-2011,-0.9571,0.173,0.746,0.081,122.9,123.8,115.6,115.99,3285603
26-Oct-2011,-0.3612,0.138,0.714,0.148,114.75,114.8,110.2,110.2,2625196
27-Oct-2011,-0.9528,0.144,0.826,0.03,108.99,112.79,108.0,110.11,4208738
28-Oct-2011,-0.9423,0.21,0.686,0.104,112.0,114.5,111.12,112.6,3455432
31-Oct-2011,-0.9686,0.256,0.696,0.048,117.0,118.23,117.0,118.23,1901801
01-Nov-2011,-0.9201,0.157,0.769,0.074,124.14,124.14,122.16,124.14,4914062
02-Nov-2011,0.0772,0.179,0.621,0.199,124.25,125.44,120.8,123.99,4751408
03-Nov-2011,-0.9081,0.159,0.803,0.039,124.29,130.18,124.29,130.18,5468641
04-Nov-2011,-0.1027,0.058,0.889,0.053,133.0,136.4,132.25,135.84,4657687
10-Nov-2011,-0.8627,0.141,0.787,0.071,134.99,138.09,129.85,131.49,3902316
14-Nov-2011,-0.9753,0.209,0.698,0.093,133.08,133.65,129.0,129.72,1219826
15-Nov-2011,-0.3707,0.118,0.779,0.103,129.4,135.5,126.26,134.5,5178687
16-Nov-2011,-0.9736,0.186,0.739,0.075,136.49,137.25,132.21,133.11,3558166
17-Nov-2011,-0.9925,0.237,0.724,0.039,132.0,132.55,130.3,132.01,1346175
18-Nov-2011,-0.8788,0.161,0.76,0.079,132.47,133.75,131.31,132.05,1054416
21-Nov-2011,-0.296,0.088,0.832,0.08,132.0,132.9,131.1,131.49,558788
22-Nov-2011,-0.967,0.171,0.774,0.055,131.99,131.99,128.8,129.08,892357
23-Nov-2011,-0.34,0.052,0.911,0.038,128.55,130.95,128.13,128.61,850444
24-Nov-2011,0.8591,0.081,0.769,0.15,128.25,132.19,128.25,131.27,1791073
25-Nov-2011,-0.9201,0.156,0.777,0.067,131.27,131.4,125.0,126.4,1137908
28-Nov-2011,-0.765,0.167,0.714,0.119,123.11,124.0,121.2,123.09,1188609
29-Nov-2011,-0.1926,0.115,0.801,0.084,123.74,128.15,121.6,127.24,1434481
30-Nov-2011,-0.9338,0.177,0.738,0.084,128.38,129.75,127.5,128.86,1172121
01-Dec-2011,-0.9382,0.187,0.74,0.073,129.75,130.0,126.55,127.3,1047275
02-Dec-2011,-0.9491,0.167,0.765,0.068,125.8,125.8,121.6,123.02,1006045
07-Dec-2011,-0.9612,0.227,0.773,0.0,123.89,125.0,116.87,116.93,1593983
08-Dec-2011,-0.9693,0.216,0.739,0.044,116.25,118.84,113.35,118.19,2856506
09-Dec-2011,-0.9382,0.13,0.821,0.049,113.0,114.0,112.29,112.29,1830379
12-Dec-2011,-0.9545,0.172,0.808,0.019,111.74,112.4,107.35,107.84,2569467
13-Dec-2011,-0.802,0.08,0.867,0.053,108.6,108.6,104.0,105.09,4445567
14-Dec-2011,-0.8582,0.123,0.784,0.093,105.1,107.7,103.0,104.03,3711526
15-Dec-2011,-0.9403,0.12,0.863,0.017,103.5,103.5,98.83,99.08,2570956
16-Dec-2011,0.4051,0.096,0.785,0.119,97.51,100.0,95.2,96.73,4859333
19-Dec-2011,-0.9612,0.159,0.765,0.076,98.49,99.0,91.9,91.97,3493105
20-Dec-2011,-0.9485,0.143,0.818,0.039,91.97,96.56,90.4,96.56,6305791
21-Dec-2011,-0.9062,0.112,0.841,0.047,96.9,96.9,91.81,94.21,4663605
22-Dec-2011,-0.93,0.144,0.799,0.057,94.5,98.89,93.12,98.54,5152320
23-Dec-2011,-0.743,0.1,0.822,0.078,97.0,99.49,97.0,98.41,2045831
26-Dec-2011,-0.872,0.163,0.743,0.094,98.98,99.46,98.01,98.29,1079863
27-Dec-2011,-0.936,0.208,0.665,0.127,98.0,98.44,97.1,97.97,901230
28-Dec-2011,-0.9738,0.186,0.764,0.051,98.25,98.74,96.6,97.41,1425082
29-Dec-2011,-0.9919,0.251,0.679,0.069,98.0,98.5,96.81,97.27,1114636
30-Dec-2011,-0.9468,0.15,0.798,0.051,97.3,97.45,92.41,92.7,2234705
02-Jan-2012,-0.9924,0.204,0.748,0.048,91.0,95.7,90.25,94.88,2489071
03-Jan-2012,-0.7102,0.14,0.746,0.114,95.0,97.19,93.81,96.78,2098912
04-Jan-2012,-0.9883,0.195,0.74,0.065,97.2,98.0,95.45,95.75,1683265
05-Jan-2012,-0.9022,0.131,0.784,0.085,95.05,95.75,93.75,94.31,1315010
06-Jan-2012,0.5267,0.1,0.765,0.135,96.0,98.0,95.02,95.74,2415736
09-Jan-2012,-0.9121,0.14,0.787,0.073,95.9,95.9,94.55,94.94,498686
10-Jan-2012,-0.969,0.144,0.817,0.039,94.31,95.9,92.58,95.38,1532543
11-Jan-2012,-0.9686,0.161,0.787,0.053,95.45,96.18,94.25,95.51,1195179
12-Jan-2012,-0.9612,0.152,0.764,0.084,94.75,95.1,94.2,94.41,956985
13-Jan-2012,-0.9874,0.165,0.809,0.026,94.75,96.61,94.56,95.37,1816844
16-Jan-2012,-0.91,0.142,0.773,0.085,95.0,96.1,94.8,95.89,681646
17-Jan-2012,-0.8271,0.106,0.842,0.052,96.1,100.68,95.8,100.45,5977679
18-Jan-2012,-0.9325,0.161,0.743,0.095,102.0,105.25,101.55,103.78,5265698
19-Jan-2012,0.304,0.081,0.826,0.093,104.29,104.5,101.61,102.25,2966241
20-Jan-2012,-0.9419,0.187,0.728,0.085,102.25,106.75,102.11,105.41,5716135
23-Jan-2012,-0.9798,0.188,0.767,0.045,110.65,110.68,108.5,110.68,2897438
24-Jan-2012,-0.9595,0.172,0.765,0.063,112.5,116.21,112.0,116.09,6630239
25-Jan-2012,-0.9738,0.178,0.744,0.078,117.5,118.4,113.05,114.1,4344460
26-Jan-2012,-0.9824,0.19,0.748,0.062,114.5,118.15,113.5,115.4,4943882
27-Jan-2012,-0.4889,0.059,0.892,0.05,115.89,117.9,114.51,117.24,3059324
30-Jan-2012,-0.9393,0.112,0.844,0.044,118.5,120.0,116.51,117.13,3928952
31-Jan-2012,-0.9793,0.195,0.746,0.059,116.35,117.49,115.3,115.97,1686287
01-Feb-2012,-0.9378,0.16,0.749,0.091,116.2,117.75,116.2,116.64,1550557
02-Feb-2012,-0.9679,0.129,0.803,0.068,116.9,122.47,116.3,122.07,8210834
03-Feb-2012,-0.9931,0.213,0.769,0.017,124.0,125.0,121.4,122.04,4848898
06-Feb-2012,-0.9712,0.234,0.686,0.08,122.99,124.25,121.2,121.86,3034828
07-Feb-2012,0.4019,0.073,0.836,0.092,122.2,125.65,119.0,124.74,6479821
08-Feb-2012,-0.9929,0.2,0.741,0.058,126.75,127.7,124.7,125.36,5796355
09-Feb-2012,-0.9264,0.116,0.835,0.049,125.5,126.4,121.55,121.99,2591925
10-Feb-2012,-0.9282,0.114,0.845,0.041,121.99,123.75,120.81,121.7,2695956
13-Feb-2012,-0.8822,0.141,0.781,0.078,121.5,122.9,120.32,121.16,1627993
14-Feb-2012,-0.9925,0.221,0.746,0.033,121.5,124.35,121.5,122.68,2174896
15-Feb-2012,-0.6966,0.103,0.818,0.079,123.7,123.85,121.35,121.77,1832634
16-Feb-2012,-0.987,0.192,0.753,0.055,121.79,127.85,119.0,127.85,5261570
17-Feb-2012,-0.9596,0.159,0.764,0.077,134.0,134.24,132.7,133.99,5472456
20-Feb-2012,-0.9584,0.161,0.762,0.077,134.45,134.45,131.1,131.43,3610648
21-Feb-2012,-0.9717,0.127,0.837,0.036,131.5,133.4,130.1,132.33,3567988
22-Feb-2012,-0.9724,0.189,0.738,0.073,133.2,133.99,130.8,131.32,1960028
23-Feb-2012,-0.9806,0.167,0.779,0.054,131.32,132.89,130.25,131.89,1954370
24-Feb-2012,-0.9153,0.152,0.737,0.111,132.0,138.48,132.0,138.48,5158938
27-Feb-2012,-0.9468,0.163,0.765,0.072,140.51,142.9,139.8,140.48,6558159
28-Feb-2012,-0.9552,0.128,0.796,0.076,141.0,142.6,140.02,140.61,2641605
29-Feb-2012,-0.9601,0.135,0.799,0.066,141.5,144.63,140.8,143.1,5391629
01-Mar-2012,-0.9592,0.147,0.79,0.063,144.61,146.25,142.82,145.26,4586072
02-Mar-2012,-0.9557,0.15,0.806,0.044,146.0,149.5,145.15,148.35,5288249
05-Mar-2012,-0.959,0.167,0.767,0.066,150.5,150.89,147.5,148.12,2866309
06-Mar-2012,-0.9856,0.197,0.734,0.069,148.5,148.5,145.5,146.07,1924809
07-Mar-2012,-0.9508,0.155,0.769,0.076,146.25,148.51,144.0,146.83,4176677
08-Mar-2012,-0.9781,0.2,0.713,0.087,147.0,149.47,146.4,147.8,2743376
09-Mar-2012,-0.9898,0.25,0.679,0.071,148.49,150.5,146.8,148.82,3894950
12-Mar-2012,-0.9565,0.166,0.774,0.06,150.5,151.9,148.51,150.26,4312943
13-Mar-2012,-0.9578,0.169,0.768,0.063,150.7,150.99,145.3,146.06,2800211
