Symbol,Date,Open,High,Low,Close,Volume
HBL,05-Aug-2020,128.70,130.99,128.10,128.70,1199645
HBL,06-Aug-2020,130.95,132.00,127.52,129.34,1725971
HBL,07-Aug-2020,129.98,129.98,126.50,127.32,1576523
HBL,10-Aug-2020,128.99,129.00,125.02,127.21,585662
HBL,11-Aug-2020,126.00,130.50,126.00,129.00,1530654
HBL,12-Aug-2020,130.11,130.98,128.50,129.20,847548
HBL,13-Aug-2020,129.75,129.75,127.50,127.78,336029
HBL,17-Aug-2020,128.00,128.00,123.01,124.02,925821
HBL,18-Aug-2020,124.99,125.48,122.00,122.49,1086619
HBL,19-Aug-2020,122.99,123.90,122.00,122.36,371392
HBL,20-Aug-2020,122.50,124.10,121.90,123.52,882970
HBL,21-Aug-2020,123.89,125.20,122.12,124.27,445630
HBL,24-Aug-2020,124.00,126.15,123.50,125.10,438253
HBL,25-Aug-2020,126.25,127.99,124.55,127.17,1204601
HBL,26-Aug-2020,128.45,135.60,127.25,134.65,2815112
HBL,27-Aug-2020,135.49,138.20,134.60,135.69,1657292
HBL,28-Aug-2020,136.00,136.70,134.50,135.22,184341
HBL,31-Aug-2020,135.55,137.50,133.25,134.46,1906037
HBL,01-Sep-2020,135.00,135.00,131.00,132.69,1785320
HBL,02-Sep-2020,133.60,136.00,132.51,133.41,939520
HBL,03-Sep-2020,134.31,136.88,133.03,133.72,1041058
HBL,04-Sep-2020,133.78,134.44,132.11,133.32,702762
HBL,07-Sep-2020,133.05,134.40,131.75,132.51,1684821
HBL,08-Sep-2020,132.49,133.49,130.20,130.83,1330444
HBL,09-Sep-2020,130.75,134.60,129.52,133.05,1045912
HBL,10-Sep-2020,133.90,137.15,133.50,135.00,1344579
HBL,11-Sep-2020,135.51,138.50,134.50,135.70,3078582
HBL,14-Sep-2020,136.00,137.02,135.26,136.70,436151
HBL,15-Sep-2020,136.00,137.50,135.10,135.49,390990
HBL,16-Sep-2020,135.13,135.85,133.15,133.78,547283
HBL,17-Sep-2020,134.89,134.90,133.10,133.76,608454
HBL,18-Sep-2020,134.00,135.00,132.50,134.22,1110632
HBL,21-Sep-2020,134.49,134.49,132.51,132.97,231696
HBL,22-Sep-2020,131.99,132.40,130.80,131.32,508364
HBL,23-Sep-2020,130.50,133.31,130.50,131.67,287716
HBL,24-Sep-2020,132.99,132.99,130.60,131.98,641821
HBL,25-Sep-2020,132.00,134.40,130.71,133.81,546930
HBL,28-Sep-2020,133.44,134.00,127.32,129.05,807471
HBL,29-Sep-2020,127.84,131.72,125.25,130.25,445919
HBL,30-Sep-2020,131.90,132.10,129.02,130.74,818892
HBL,01-Oct-2020,130.00,134.34,130.00,132.57,682516
HBL,02-Oct-2020,133.00,134.50,130.50,131.04,479944
HBL,05-Oct-2020,131.88,131.88,128.00,129.61,514826
HBL,06-Oct-2020,130.00,130.90,126.60,129.01,387174
HBL,07-Oct-2020,131.74,132.00,128.50,130.45,523146
HBL,08-Oct-2020,130.90,132.90,129.10,132.17,375319
HBL,09-Oct-2020,132.85,136.85,131.30,136.00,849739
HBL,12-Oct-2020,136.65,138.30,133.00,133.70,1084637
HBL,13-Oct-2020,134.44,135.69,132.75,134.73,622391
HBL,14-Oct-2020,135.00,135.00,133.25,134.66,201250
HBL,15-Oct-2020,134.35,135.80,132.16,132.62,526499
HBL,16-Oct-2020,133.88,139.50,130.11,138.61,3578881
HBL,19-Oct-2020,138.50,139.99,135.42,137.81,899791
HBL,20-Oct-2020,137.11,140.35,137.11,139.64,2405767
HBL,21-Oct-2020,139.07,140.15,138.52,139.63,652743
HBL,22-Oct-2020,140.50,141.50,138.15,139.12,1313611
HBL,23-Oct-2020,139.45,140.34,138.60,138.99,520121
HBL,26-Oct-2020,139.50,139.80,137.50,138.78,431583
HBL,27-Oct-2020,138.80,138.98,132.20,135.15,962602
HBL,28-Oct-2020,135.25,136.80,133.06,133.50,781060
